month,state_fips,state_abbr,state_name,offenses,clearances,population
2022-06,4,AZ,Arizona,566,81,1280000
2022-07,4,AZ,Arizona,587,100,1280000
2022-08,4,AZ,Arizona,632,104,1280000
2022-09,4,AZ,Arizona,589,63,1280000
2022-10,4,AZ,Arizona,560,45,1280000
2022-11,4,AZ,Arizona,546,58,1280000
2022-12,4,AZ,Arizona,470,72,1280000
2023-01,4,AZ,Arizona,533,43,1280000
2023-02,4,AZ,Arizona,612,54,1280000
2023-03,4,AZ,Arizona,763,103,1280000
2023-04,4,AZ,Arizona,577,94,1280000
2023-05,4,AZ,Arizona,630,58,1280000
2023-06,4,AZ,Arizona,618,68,1280000
2023-07,4,AZ,Arizona,692,115,1280000
2023-08,4,AZ,Arizona,497,84,1280000
2023-09,4,AZ,Arizona,551,50,1280000
2023-10,4,AZ,Arizona,577,91,1280000
2023-11,4,AZ,Arizona,589,84,1280000
2023-12,4,AZ,Arizona,523,50,1280000
2024-01,4,AZ,Arizona,719,128,1280000
2024-02,4,AZ,Arizona,586,94,1280000
2024-03,4,AZ,Arizona,678,104,1280000
2024-04,4,AZ,Arizona,668,76,1280000
2024-05,4,AZ,Arizona,774,129,1280000
2024-06,4,AZ,Arizona,595,96,1280000
2024-07,4,AZ,Arizona,595,54,1280000
2024-08,4,AZ,Arizona,683,114,1280000
2024-09,4,AZ,Arizona,574,93,1280000
2024-10,4,AZ,Arizona,501,63,1280000
2024-11,4,AZ,Arizona,507,52,1280000
2024-12,4,AZ,Arizona,681,56,1280000
2025-01,4,AZ,Arizona,631,105,1280000
2025-02,4,AZ,Arizona,701,124,1280000
2025-03,4,AZ,Arizona,659,79,1280000
2025-04,4,AZ,Arizona,776,138,1280000
2025-05,4,AZ,Arizona,529,48,1280000
2025-06,4,AZ,Arizona,616,109,1280000
2025-07,4,AZ,Arizona,685,73,1280000
2025-08,4,AZ,Arizona,726,66,1280000
2025-09,4,AZ,Arizona,457,51,1280000
2025-10,4,AZ,Arizona,583,82,1280000
2025-11,4,AZ,Arizona,489,67,1280000
2025-12,4,AZ,Arizona,576,61,1280000
2026-01,4,AZ,Arizona,617,106,1280000
2021-01,5,AR,Arkansas,749,121,1500000
2021-02,5,AR,Arkansas,794,100,1500000
2021-03,5,AR,Arkansas,722,70,1500000
2021-04,5,AR,Arkansas,812,99,1500000
2021-05,5,AR,Arkansas,777,136,1500000
2021-06,5,AR,Arkansas,791,96,1500000
2021-07,5,AR,Arkansas,696,91,1500000
2021-08,5,AR,Arkansas,662,68,1500000
2021-09,5,AR,Arkansas,717,95,1500000
2021-10,5,AR,Arkansas,774,140,1500000
2021-11,5,AR,Arkansas,641,97,1500000
2021-12,5,AR,Arkansas,686,62,1500000
2022-01,5,AR,Arkansas,852,101,1500000
2022-02,5,AR,Arkansas,720,112,1500000
2022-03,5,AR,Arkansas,886,121,1500000
2022-04,5,AR,Arkansas,808,111,1500000
2022-05,5,AR,Arkansas,864,156,1500000
2022-06,5,AR,Arkansas,825,81,1500000
2022-07,5,AR,Arkansas,723,102,1500000
2022-08,5,AR,Arkansas,676,116,1500000
2022-09,5,AR,Arkansas,638,105,1500000
2022-10,5,AR,Arkansas,652,72,1500000
2022-11,5,AR,Arkansas,643,59,1500000
2022-12,5,AR,Arkansas,727,127,1500000
2023-01,5,AR,Arkansas,857,83,1500000
2023-02,5,AR,Arkansas,728,80,1500000
2023-03,5,AR,Arkansas,908,145,1500000
2023-04,5,AR,Arkansas,811,126,1500000
2023-05,5,AR,Arkansas,857,78,1500000
2023-06,5,AR,Arkansas,823,83,1500000
2023-07,5,AR,Arkansas,647,86,1500000
2023-08,5,AR,Arkansas,815,116,1500000
2023-09,5,AR,Arkansas,865,82,1500000
2023-10,5,AR,Arkansas,686,93,1500000
2023-11,5,AR,Arkansas,844,144,1500000
2023-12,5,AR,Arkansas,623,93,1500000
2024-01,5,AR,Arkansas,587,109,1500000
2024-02,5,AR,Arkansas,908,147,1500000
2024-03,5,AR,Arkansas,798,112,1500000
2024-04,5,AR,Arkansas,923,166,1500000
2024-05,5,AR,Arkansas,782,129,1500000
2024-06,5,AR,Arkansas,774,89,1500000
2024-07,5,AR,Arkansas,794,122,1500000
2024-08,5,AR,Arkansas,748,114,1500000
2024-09,5,AR,Arkansas,614,72,1500000
2024-10,5,AR,Arkansas,747,88,1500000
2024-11,5,AR,Arkansas,735,90,1500000
2024-12,5,AR,Arkansas,702,79,1500000
2025-01,5,AR,Arkansas,779,124,1500000
2025-02,5,AR,Arkansas,830,109,1500000
2025-03,5,AR,Arkansas,847,122,1500000
2025-04,5,AR,Arkansas,843,111,1500000
2025-05,5,AR,Arkansas,901,163,1500000
2025-06,5,AR,Arkansas,741,130,1500000
2025-07,5,AR,Arkansas,736,123,1500000
2025-08,5,AR,Arkansas,741,93,1500000
2025-09,5,AR,Arkansas,719,119,1500000
2025-10,5,AR,Arkansas,813,107,1500000
2025-11,5,AR,Arkansas,566,93,1500000
2025-12,5,AR,Arkansas,652,73,1500000
2026-01,5,AR,Arkansas,770,86,1500000
2021-01,6,CA,California,981,135,1720000
2021-02,6,CA,California,974,108,1720000
2021-03,6,CA,California,1050,87,1720000
2021-04,6,CA,California,1099,145,1720000
2021-05,6,CA,California,1087,137,1720000
2021-06,6,CA,California,978,71,1720000
2021-07,6,CA,California,881,102,1720000
2021-08,6,CA,California,820,62,1720000
2021-09,6,CA,California,774,79,1720000
2021-10,6,CA,California,844,123,1720000
2021-11,6,CA,California,715,110,1720000
2021-12,6,CA,California,959,91,1720000
2022-01,6,CA,California,930,115,1720000
2022-02,6,CA,California,980,167,1720000
2022-03,6,CA,California,939,139,1720000
2022-04,6,CA,California,1129,153,1720000
2022-05,6,CA,California,1020,92,1720000
2022-06,6,CA,California,765,55,1720000
2022-07,6,CA,California,947,130,1720000
2022-08,6,CA,California,903,114,1720000
2022-09,6,CA,California,853,125,1720000
2022-10,6,CA,California,943,82,1720000
2022-11,6,CA,California,717,58,1720000
2022-12,6,CA,California,781,119,1720000
2023-01,6,CA,California,966,70,1720000
2023-02,6,CA,California,974,99,1720000
2023-03,6,CA,California,929,102,1720000
2023-04,6,CA,California,846,120,1720000
2023-05,6,CA,California,1144,152,1720000
2023-06,6,CA,California,1047,84,1720000
2023-07,6,CA,California,955,124,1720000
2023-08,6,CA,California,711,58,1720000
2023-09,6,CA,California,986,103,1720000
2023-10,6,CA,California,807,91,1720000
2023-11,6,CA,California,768,80,1720000
2023-12,6,CA,California,954,148,1720000
2024-01,6,CA,California,955,159,1720000
2024-02,6,CA,California,958,128,1720000
2024-03,6,CA,California,1101,125,1720000
2024-04,6,CA,California,934,134,1720000
2024-05,6,CA,California,1105,167,1720000
2024-06,6,CA,California,983,122,1720000
2024-07,6,CA,California,851,122,1720000
2024-08,6,CA,California,896,87,1720000
2024-09,6,CA,California,943,74,1720000
2024-10,6,CA,California,702,111,1720000
2024-11,6,CA,California,852,112,1720000
2024-12,6,CA,California,986,106,1720000
2025-01,6,CA,California,1113,98,1720000
2025-02,6,CA,California,1036,94,1720000
2025-03,6,CA,California,1072,169,1720000
2025-04,6,CA,California,990,139,1720000
2025-05,6,CA,California,1048,173,1720000
2025-06,6,CA,California,1022,80,1720000
2025-07,6,CA,California,935,136,1720000
2025-08,6,CA,California,799,111,1720000
2025-09,6,CA,California,795,119,1720000
2025-10,6,CA,California,762,60,1720000
2025-11,6,CA,California,881,89,1720000
2025-12,6,CA,California,1030,132,1720000
2026-01,6,CA,California,855,96,1720000
2021-01,8,CO,Colorado,867,107,2160000
2021-02,8,CO,Colorado,872,100,2160000
2021-03,8,CO,Colorado,853,87,2160000
2021-04,8,CO,Colorado,969,139,2160000
2021-05,8,CO,Colorado,988,164,2160000
2021-06,8,CO,Colorado,930,129,2160000
2021-07,8,CO,Colorado,919,149,2160000
2021-08,8,CO,Colorado,930,110,2160000
2021-09,8,CO,Colorado,744,74,2160000
2021-10,8,CO,Colorado,777,84,2160000
2021-11,8,CO,Colorado,838,77,2160000
2021-12,8,CO,Colorado,719,135,2160000
2022-01,8,CO,Colorado,837,122,2160000
2022-02,8,CO,Colorado,889,157,2160000
2022-03,8,CO,Colorado,893,124,2160000
2022-04,8,CO,Colorado,1059,145,2160000
2022-05,8,CO,Colorado,847,114,2160000
2022-06,8,CO,Colorado,925,170,2160000
2022-07,8,CO,Colorado,892,123,2160000
2022-08,8,CO,Colorado,857,83,2160000
2022-09,8,CO,Colorado,674,103,2160000
2022-10,8,CO,Colorado,817,120,2160000
2022-11,8,CO,Colorado,794,96,2160000
2022-12,8,CO,Colorado,867,144,2160000
2023-01,8,CO,Colorado,863,130,2160000
2023-02,8,CO,Colorado,938,133,2160000
2023-03,8,CO,Colorado,882,119,2160000
2023-04,8,CO,Colorado,771,146,2160000
2023-05,8,CO,Colorado,1034,125,2160000
2023-06,8,CO,Colorado,814,134,2160000
2023-07,8,CO,Colorado,768,142,2160000
2023-08,8,CO,Colorado,838,131,2160000
2023-09,8,CO,Colorado,853,90,2160000
2023-10,8,CO,Colorado,788,71,2160000
2023-11,8,CO,Colorado,821,111,2160000
2023-12,8,CO,Colorado,748,85,2160000
2024-01,8,CO,Colorado,826,133,2160000
2024-02,8,CO,Colorado,894,142,2160000
2024-03,8,CO,Colorado,855,156,2160000
2024-04,8,CO,Colorado,1019,159,2160000
2024-05,8,CO,Colorado,823,151,2160000
2024-06,8,CO,Colorado,812,126,2160000
2024-07,8,CO,Colorado,942,170,2160000
2024-08,8,CO,Colorado,848,90,2160000
2024-09,8,CO,Colorado,754,91,2160000
2024-10,8,CO,Colorado,776,92,2160000
2024-11,8,CO,Colorado,652,67,2160000
2024-12,8,CO,Colorado,769,142,2160000
2025-01,8,CO,Colorado,730,102,2160000
2025-02,8,CO,Colorado,895,84,2160000
2025-03,8,CO,Colorado,981,131,2160000
2025-04,8,CO,Colorado,959,95,2160000
2025-05,8,CO,Colorado,1055,196,2160000
2025-06,8,CO,Colorado,1016,188,2160000
2025-07,8,CO,Colorado,769,146,2160000
2025-08,8,CO,Colorado,798,75,2160000
2025-09,8,CO,Colorado,724,120,2160000
2025-10,8,CO,Colorado,632,115,2160000
2025-11,8,CO,Colorado,830,90,2160000
2025-12,8,CO,Colorado,709,99,2160000
2026-01,8,CO,Colorado,817,81,2160000
2021-01,9,CT,Connecticut,869,135,2380000
2021-02,9,CT,Connecticut,1170,120,2380000
2021-03,9,CT,Connecticut,1026,169,2380000
2021-04,9,CT,Connecticut,984,149,2380000
2021-05,9,CT,Connecticut,937,95,2380000
2021-06,9,CT,Connecticut,980,100,2380000
2021-07,9,CT,Connecticut,1083,132,2380000
2021-08,9,CT,Connecticut,884,149,2380000
2021-09,9,CT,Connecticut,784,87,2380000
2021-10,9,CT,Connecticut,726,64,2380000
2021-11,9,CT,Connecticut,738,98,2380000
2021-12,9,CT,Connecticut,1063,155,2380000
2022-01,9,CT,Connecticut,1013,165,2380000
2022-02,9,CT,Connecticut,1173,134,2380000
2022-03,9,CT,Connecticut,1053,176,2380000
2022-04,9,CT,Connecticut,1032,135,2380000
2022-05,9,CT,Connecticut,1079,135,2380000
2022-06,9,CT,Connecticut,1102,138,2380000
2022-07,9,CT,Connecticut,1284,207,2380000
2022-08,9,CT,Connecticut,1123,130,2380000
2022-09,9,CT,Connecticut,1042,125,2380000
2022-10,9,CT,Connecticut,1012,143,2380000
2022-11,9,CT,Connecticut,782,120,2380000
2022-12,9,CT,Connecticut,916,154,2380000
2023-01,9,CT,Connecticut,987,107,2380000
2023-02,9,CT,Connecticut,1191,193,2380000
2023-03,9,CT,Connecticut,841,132,2380000
2023-04,9,CT,Connecticut,1089,106,2380000
2023-05,9,CT,Connecticut,1118,183,2380000
2023-06,9,CT,Connecticut,926,112,2380000
2023-07,9,CT,Connecticut,1028,103,2380000
2023-08,9,CT,Connecticut,841,108,2380000
2023-09,9,CT,Connecticut,1024,87,2380000
2023-10,9,CT,Connecticut,870,108,2380000
2023-11,9,CT,Connecticut,803,100,2380000
2023-12,9,CT,Connecticut,1057,122,2380000
2024-01,9,CT,Connecticut,959,134,2380000
2024-02,9,CT,Connecticut,1122,143,2380000
2024-03,9,CT,Connecticut,1119,83,2380000
2024-04,9,CT,Connecticut,1319,191,2380000
2024-05,9,CT,Connecticut,1040,113,2380000
2024-06,9,CT,Connecticut,848,116,2380000
2024-07,9,CT,Connecticut,1142,137,2380000
2024-08,9,CT,Connecticut,637,47,2380000
2024-09,9,CT,Connecticut,737,116,2380000
2024-10,9,CT,Connecticut,879,138,2380000
2024-11,9,CT,Connecticut,763,88,2380000
2024-12,9,CT,Connecticut,996,142,2380000
2025-01,9,CT,Connecticut,857,73,2380000
2025-02,9,CT,Connecticut,1158,135,2380000
2025-03,9,CT,Connecticut,1217,169,2380000
2025-04,9,CT,Connecticut,1107,149,2380000
2025-05,9,CT,Connecticut,1251,195,2380000
2025-06,9,CT,Connecticut,883,95,2380000
2025-07,9,CT,Connecticut,933,136,2380000
2025-08,9,CT,Connecticut,1123,177,2380000
2025-09,9,CT,Connecticut,950,126,2380000
2025-10,9,CT,Connecticut,901,146,2380000
2025-11,9,CT,Connecticut,1105,125,2380000
2025-12,9,CT,Connecticut,950,76,2380000
2026-01,9,CT,Connecticut,854,98,2380000
2021-01,10,DE,Delaware,974,166,2600000
2021-02,10,DE,Delaware,1464,160,2600000
2021-03,10,DE,Delaware,1361,160,2600000
2021-04,10,DE,Delaware,1413,193,2600000
2021-05,10,DE,Delaware,1424,227,2600000
2021-06,10,DE,Delaware,1272,213,2600000
2021-07,10,DE,Delaware,1224,174,2600000
2021-08,10,DE,Delaware,1125,106,2600000
2021-09,10,DE,Delaware,1344,169,2600000
2021-10,10,DE,Delaware,1037,84,2600000
2021-11,10,DE,Delaware,1159,186,2600000
2021-12,10,DE,Delaware,1272,122,2600000
2022-01,10,DE,Delaware,1071,133,2600000
2022-02,10,DE,Delaware,1159,167,2600000
2022-03,10,DE,Delaware,1453,178,2600000
2022-04,10,DE,Delaware,1331,133,2600000
2022-05,10,DE,Delaware,1564,185,2600000
2022-06,10,DE,Delaware,1167,160,2600000
2022-07,10,DE,Delaware,1202,165,2600000
2022-08,10,DE,Delaware,1230,219,2600000
2022-09,10,DE,Delaware,1065,155,2600000
2022-10,10,DE,Delaware,1026,152,2600000
2022-11,10,DE,Delaware,1238,191,2600000
2022-12,10,DE,Delaware,1295,168,2600000
2023-01,10,DE,Delaware,1253,214,2600000
2023-02,10,DE,Delaware,1219,172,2600000
2023-03,10,DE,Delaware,1553,179,2600000
2023-04,10,DE,Delaware,1228,181,2600000
2023-05,10,DE,Delaware,1191,181,2600000
2023-06,10,DE,Delaware,1143,163,2600000
2023-07,10,DE,Delaware,997,170,2600000
2023-08,10,DE,Delaware,1067,132,2600000
2023-09,10,DE,Delaware,994,137,2600000
2023-10,10,DE,Delaware,1058,116,2600000
2023-11,10,DE,Delaware,1028,159,2600000
2023-12,10,DE,Delaware,1170,157,2600000
2024-01,10,DE,Delaware,1275,226,2600000
2024-02,10,DE,Delaware,1005,164,2600000
2024-03,10,DE,Delaware,1286,136,2600000
2024-04,10,DE,Delaware,1430,230,2600000
2024-05,10,DE,Delaware,1211,187,2600000
2024-06,10,DE,Delaware,1258,222,2600000
2024-07,10,DE,Delaware,1274,120,2600000
2024-08,10,DE,Delaware,1400,213,2600000
2024-09,10,DE,Delaware,1041,185,2600000
2024-10,10,DE,Delaware,1306,152,2600000
2024-11,10,DE,Delaware,1049,167,2600000
2024-12,10,DE,Delaware,1313,165,2600000
2025-01,10,DE,Delaware,1241,183,2600000
2025-02,10,DE,Delaware,1221,198,2600000
2025-03,10,DE,Delaware,1205,210,2600000
2025-04,10,DE,Delaware,1452,120,2600000
2025-05,10,DE,Delaware,1419,239,2600000
2025-06,10,DE,Delaware,1039,106,2600000
2025-07,10,DE,Delaware,1125,97,2600000
2025-08,10,DE,Delaware,1288,142,2600000
2025-09,10,DE,Delaware,853,103,2600000
2025-10,10,DE,Delaware,1290,142,2600000
2025-11,10,DE,Delaware,1352,175,2600000
2025-12,10,DE,Delaware,1388,130,2600000
2026-01,10,DE,Delaware,1397,175,2600000
2021-01,11,DC,District of Columbia,1338,176,2820000
2021-02,11,DC,District of Columbia,1095,180,2820000
2021-03,11,DC,District of Columbia,1578,158,2820000
2021-04,11,DC,District of Columbia,1640,228,2820000
2021-05,11,DC,District of Columbia,1208,113,2820000
2021-06,11,DC,District of Columbia,1630,207,2820000
2021-07,11,DC,District of Columbia,1037,182,2820000
2021-08,11,DC,District of Columbia,1401,140,2820000
2021-09,11,DC,District of Columbia,1152,216,2820000
2021-10,11,DC,District of Columbia,1038,131,2820000
2021-11,11,DC,District of Columbia,1151,118,2820000
2021-12,11,DC,District of Columbia,1340,234,2820000
2022-01,11,DC,District of Columbia,1169,180,2820000
2022-02,11,DC,District of Columbia,1511,226,2820000
2022-03,11,DC,District of Columbia,1760,201,2820000
2022-04,11,DC,District of Columbia,1571,161,2820000
2022-05,11,DC,District of Columbia,1468,244,2820000
2022-06,11,DC,District of Columbia,1437,159,2820000
2022-07,11,DC,District of Columbia,1437,177,2820000
2022-08,11,DC,District of Columbia,1574,165,2820000
2022-09,11,DC,District of Columbia,1245,219,2820000
2022-10,11,DC,District of Columbia,1209,126,2820000
2022-11,11,DC,District of Columbia,1312,141,2820000
2022-12,11,DC,District of Columbia,1379,215,2820000
2023-01,11,DC,District of Columbia,1409,238,2820000
2023-02,11,DC,District of Columbia,1473,168,2820000
2023-03,11,DC,District of Columbia,1493,142,2820000
2023-04,11,DC,District of Columbia,1634,268,2820000
2023-05,11,DC,District of Columbia,1305,180,2820000
2023-06,11,DC,District of Columbia,1437,241,2820000
2023-07,11,DC,District of Columbia,1326,186,2820000
2023-08,11,DC,District of Columbia,1305,241,2820000
2023-09,11,DC,District of Columbia,1488,263,2820000
2023-10,11,DC,District of Columbia,1296,184,2820000
2023-11,11,DC,District of Columbia,902,87,2820000
2023-12,11,DC,District of Columbia,1411,195,2820000
2024-01,11,DC,District of Columbia,1226,170,2820000
2024-02,11,DC,District of Columbia,1611,292,2820000
2024-03,11,DC,District of Columbia,1602,242,2820000
2024-04,11,DC,District of Columbia,1600,155,2820000
2024-05,11,DC,District of Columbia,1522,220,2820000
2024-06,11,DC,District of Columbia,1690,207,2820000
2024-07,11,DC,District of Columbia,1583,214,2820000
2024-08,11,DC,District of Columbia,1320,199,2820000
2024-09,11,DC,District of Columbia,1443,253,2820000
2024-10,11,DC,District of Columbia,1372,213,2820000
2024-11,11,DC,District of Columbia,1294,144,2820000
2024-12,11,DC,District of Columbia,1107,150,2820000
2025-01,11,DC,District of Columbia,1435,194,2820000
2025-02,11,DC,District of Columbia,1631,215,2820000
2025-03,11,DC,District of Columbia,1691,265,2820000
2025-04,11,DC,District of Columbia,1676,214,2820000
2025-05,11,DC,District of Columbia,1754,170,2820000
2025-06,11,DC,District of Columbia,1771,307,2820000
2025-07,11,DC,District of Columbia,1479,242,2820000
2025-08,11,DC,District of Columbia,1376,236,2820000
2025-09,11,DC,District of Columbia,1104,161,2820000
2025-10,11,DC,District of Columbia,1193,147,2820000
2025-11,11,DC,District of Columbia,1377,216,2820000
2025-12,11,DC,District of Columbia,1438,237,2820000
2026-01,11,DC,District of Columbia,1586,296,2820000
2021-01,12,FL,Florida,1359,143,3040000
2021-02,12,FL,Florida,1539,209,3040000
2021-03,12,FL,Florida,1652,153,3040000
2021-04,12,FL,Florida,1956,209,3040000
2021-05,12,FL,Florida,1890,276,3040000
2021-06,12,FL,Florida,1392,215,3040000
2021-07,12,FL,Florida,1424,238,3040000
2021-08,12,FL,Florida,1544,207,3040000
2021-09,12,FL,Florida,1199,87,3040000
2021-10,12,FL,Florida,1624,157,3040000
2021-11,12,FL,Florida,1269,112,3040000
2021-12,12,FL,Florida,1424,148,3040000
2022-01,12,FL,Florida,1432,101,3040000
2022-02,12,FL,Florida,1786,197,3040000
2022-03,12,FL,Florida,1579,133,3040000
2022-04,12,FL,Florida,1723,249,3040000
2022-05,12,FL,Florida,1697,155,3040000
2022-06,12,FL,Florida,1537,164,3040000
2022-07,12,FL,Florida,1633,232,3040000
2022-08,12,FL,Florida,1507,118,3040000
2022-09,12,FL,Florida,1212,91,3040000
2022-10,12,FL,Florida,1498,206,3040000
2022-11,12,FL,Florida,1585,154,3040000
2022-12,12,FL,Florida,1387,158,3040000
2023-01,12,FL,Florida,1426,139,3040000
2023-02,12,FL,Florida,1674,189,3040000
2023-03,12,FL,Florida,1668,164,3040000
2023-04,12,FL,Florida,1693,231,3040000
2023-05,12,FL,Florida,1588,118,3040000
2023-06,12,FL,Florida,1515,107,3040000
2023-07,12,FL,Florida,1710,171,3040000
2023-08,12,FL,Florida,1511,144,3040000
2023-09,12,FL,Florida,1503,155,3040000
2023-10,12,FL,Florida,1650,144,3040000
2023-11,12,FL,Florida,1438,155,3040000
2023-12,12,FL,Florida,1445,222,3040000
2024-01,12,FL,Florida,1422,214,3040000
2024-02,12,FL,Florida,1963,146,3040000
2024-03,12,FL,Florida,1895,136,3040000
2024-04,12,FL,Florida,2056,262,3040000
2024-05,12,FL,Florida,1622,207,3040000
2024-06,12,FL,Florida,1658,135,3040000
2024-07,12,FL,Florida,1450,105,3040000
2024-08,12,FL,Florida,1384,182,3040000
2024-09,12,FL,Florida,1683,258,3040000
2024-10,12,FL,Florida,1472,227,3040000
2024-11,12,FL,Florida,1410,133,3040000
2024-12,12,FL,Florida,1357,149,3040000
2025-01,12,FL,Florida,1514,153,3040000
2025-02,12,FL,Florida,1638,142,3040000
